,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__C,param_classifier__penalty,param_classifier__solver,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_test_Recall,split1_test_Recall,split2_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_Precision,split1_test_Precision,split2_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision
49,1.6923908392588298,0.08256361185105644,0.01790507634480794,0.0003025722668818298,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",0.8286427728546842,l2,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 0.8286427728546842, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.6174549826863939,0.6261068536092237,0.6212679888396432,0.6216099417117537,0.003540378175787199,26,0.5989066987862504,0.6087278791809506,0.6027981098860372,0.603477562617746,0.0040381627916071874,23,0.5989066987862504,0.6087278791809506,0.6027981098860372,0.603477562617746,0.0040381627916071874,23
50,5.566921313603719,2.897274005101741,0.020275354385375977,0.00028671516896468507,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",1.2067926406393288,l1,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 1.2067926406393288, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.6239258218810585,0.6301463897194276,0.6282995054128125,0.6274572390044328,0.0026084383048038027,23,0.6057629945334939,0.6100250162142129,0.6099323635689798,0.6085734581055622,0.0019876577917420576,20,0.6057629945334939,0.6100250162142129,0.6099323635689798,0.6085734581055622,0.0019876577917420576,20
51,1.9309765497843425,0.16775901408737526,0.019640525182088215,0.0007965820395870224,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",1.2067926406393288,l2,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 1.2067926406393288, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.6131361459972613,0.622038182587469,0.6162804075935574,0.6171515787260958,0.003686079056845777,30,0.5964977300101918,0.606318910404892,0.5984434355600853,0.6004200253250565,0.004246102244847821,25,0.5964977300101918,0.606318910404892,0.5984434355600853,0.6004200253250565,0.004246102244847821,25
52,11.089258352915445,3.1625288454187723,0.02265008290608724,0.0012182956466472085,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",1.7575106248547894,l1,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 1.7575106248547894, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.6150818789657564,0.6213703695483455,0.6195920400765056,0.6186814295302024,0.00264678259113547,29,0.6002038358195126,0.6057629945334939,0.6001111831742796,0.6020260045090954,0.0026427216980489123,24,0.6002038358195126,0.6057629945334939,0.6001111831742796,0.6020260045090954,0.0026427216980489123,24
53,2.169517437616984,0.19386281982811887,0.01917425791422526,0.00012429169065910159,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",1.7575106248547894,l2,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 1.7575106248547894, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.6087536493502421,0.6179144124101336,0.6112952922731346,0.6126544513445035,0.003861379718514356,32,0.5915871398128416,0.6023348466598721,0.5966830353006578,0.5968683405911238,0.004389688990914409,28,0.5915871398128416,0.6023348466598721,0.5966830353006578,0.5968683405911238,0.004389688990914409,28
54,11.464679956436157,2.3880390204477457,0.021746714909871418,0.0007557970324430524,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",2.559547922699533,l1,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 2.559547922699533, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.6061011745913978,0.6141087306443959,0.6102635842032238,0.6101578298130058,0.0032699262457293356,33,0.5933475400722691,0.6002038358195126,0.5956638562030946,0.5964050773649587,0.0028477189060151275,29,0.5933475400722691,0.6002038358195126,0.5956638562030946,0.5964050773649587,0.0028477189060151275,29
55,2.4713982741038003,0.18357435582050424,0.01944144566853841,0.0008563100212375733,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",2.559547922699533,l2,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 2.559547922699533, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.6043277850174686,0.6137652064333549,0.6063558318049879,0.6081496077519372,0.004056226066690336,34,0.5894561289724821,0.5969609932363569,0.5938108032984342,0.5934093085024245,0.003076973129360876,30,0.5894561289724821,0.5969609932363569,0.5938108032984342,0.5934093085024245,0.003076973129360876,30
56,13.473072052001953,2.6673327189218083,0.021463394165039062,0.00030640346478699287,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",3.727593720314938,l1,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 3.727593720314938, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.5982781866177398,0.6083359315192183,0.6012039846822333,0.6026060342730638,0.004224047460052581,37,0.5851941072917631,0.5960344667840267,0.5922357083294728,0.5911547608017543,0.004491078871766263,32,0.5851941072917631,0.5960344667840267,0.5922357083294728,0.5911547608017543,0.004491078871766263,32
57,2.928217649459839,0.23004871343025443,0.021445035934448242,0.0019463656484762905,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",3.727593720314938,l2,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 3.727593720314938, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.5998985386393397,0.6096687744559751,0.6016559888562706,0.6037411006505286,0.0042524616693613475,36,0.5852867599369962,0.5964977300101918,0.5912165292319096,0.5910003397263659,0.004579411601377939,33,0.5852867599369962,0.5964977300101918,0.5912165292319096,0.5910003397263659,0.004579411601377939,33
58,11.610782623291016,1.7849702455343006,0.022060314814249676,0.0011625633055612674,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",5.428675439323859,l1,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 5.428675439323859, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.5903040634922647,0.6023698625938385,0.5928775753158868,0.5951838338006633,0.0051887698053159365,41,0.5807467803205781,0.5954785509126286,0.5846381914203651,0.5869545075511906,0.006233257923303691,36,0.5807467803205781,0.5954785509126286,0.5846381914203651,0.5869545075511906,0.006233257923303691,36
59,3.446622292200724,0.16502289314406307,0.019500335057576496,9.217323801425427e-05,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",5.428675439323859,l2,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 5.428675439323859, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.5955516591574691,0.6057285859280843,0.5970786671854975,0.599452970757017,0.004481104604217857,39,0.5807467803205781,0.5926989715556379,0.5879736866487538,0.5871398128416566,0.004914958662049416,35,0.5807467803205781,0.5926989715556379,0.5879736866487538,0.5871398128416566,0.004914958662049416,35
60,14.331254561742147,7.704669541628734,0.023704369862874348,0.0026641396096572256,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",7.9060432109076855,l1,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 7.9060432109076855, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.5838516846284981,0.5963992490450125,0.5850827842949845,0.588444572656165,0.005647215180108467,45,0.5748170110256647,0.5895487816177152,0.5777818956731214,0.5807158961055005,0.00636199838086015,42,0.5748170110256647,0.5895487816177152,0.5777818956731214,0.5807158961055005,0.00636199838086015,42
61,4.337806701660156,0.10891124841452512,0.020276705423990887,8.11838504304808e-05,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",7.9060432109076855,l2,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 7.9060432109076855, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.5913475654029443,0.6019927293070788,0.5927704836870915,0.5953702594657049,0.004718686555301209,40,0.5788010747706847,0.5896414342629482,0.5852867599369962,0.5845764229902096,0.004453970693950495,39,0.5788010747706847,0.5896414342629482,0.5852867599369962,0.5845764229902096,0.004453970693950495,39
62,16.635191520055134,1.421013263577196,0.023308436075846355,0.001072731719627558,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",11.513953993264458,l1,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 11.513953993264458, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.5787294712489153,0.5922152361847851,0.5792603463019181,0.5834016845785396,0.006235889459007487,48,0.5731492634114704,0.5868618549059575,0.5747243583804318,0.5782451588992866,0.006126761982964371,60,0.5731492634114704,0.5868618549059575,0.5747243583804318,0.5782451588992866,0.006126761982964371,60
63,4.7400665283203125,0.27870847409624927,0.020792166392008465,0.003088123137137893,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",11.513953993264458,l2,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 11.513953993264458, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.5873539335125112,0.5984066691116037,0.5887218212509668,0.5914941412916939,0.004919692392960101,43,0.5748170110256647,0.5872324654868897,0.58019086444918,0.5807467803205781,0.0050838082321387,41,0.5748170110256647,0.5872324654868897,0.58019086444918,0.5807467803205781,0.0050838082321387,41
64,19.124493837356567,4.85250004277469,0.02341039975484212,0.0005742113809511896,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",16.768329368110066,l1,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 16.768329368110066, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.5747106853961521,0.588921722912547,0.5740526988041599,0.5792283690376197,0.006859497969834073,50,0.571203557861577,0.5839896229037339,0.5727786528305383,0.5759906111986164,0.005692590051067391,62,0.571203557861577,0.5839896229037339,0.5727786528305383,0.5759906111986164,0.005692590051067391,62
65,5.640206654866536,0.21819743571424982,0.02044359842936198,0.0007560941784835985,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",16.768329368110066,l2,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 16.768329368110066, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.5837012540694637,0.5950268432235261,0.5848355928610183,0.5878545633846693,0.0050926666026525624,46,0.5738904845733346,0.5850088020012971,0.5782451588992866,0.5790481484913061,0.0045744099671179905,59,0.5738904845733346,0.5850088020012971,0.5782451588992866,0.5790481484913061,0.0045744099671179905,59
66,19.026004870732624,2.865028950616402,0.02380712827046712,0.00033371813023330964,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",24.420530945486497,l1,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 24.420530945486497, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.5711441071911092,0.5859524280091132,0.5700842846346129,0.5757269399449451,0.00724344579950949,54,0.5673121467617901,0.5826924858704716,0.5691651996664505,0.5730566107662374,0.006855460987911662,65,0.5673121467617901,0.5826924858704716,0.5691651996664505,0.5730566107662374,0.006855460987911662,65
67,5.926426649093628,0.6482231883628409,0.021449565887451172,0.0005018210253941465,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",24.420530945486497,l2,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 24.420530945486497, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.580359300043438,0.5919446373267185,0.5811624204483574,0.5844887859395046,0.005282268485374042,47,0.5722227369591402,0.5830630964514036,0.5750023163161309,0.5767627165755582,0.004597289439471963,61,0.5722227369591402,0.5830630964514036,0.5750023163161309,0.5767627165755582,0.004597289439471963,61
68,17.77840304374695,2.7114303229489565,0.024785916010538738,0.0008281899921521592,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",35.564803062231285,l1,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 35.564803062231285, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.5686903980561694,0.583188768509212,0.5674721295797436,0.5731170987150417,0.007139091625329067,56,0.5655517465023626,0.5813953488372093,0.5682386732141202,0.5717285895178974,0.006922888154121673,67,0.5655517465023626,0.5813953488372093,0.5682386732141202,0.5717285895178974,0.006922888154121673,67
69,6.771135727564494,0.10279868098735467,0.0260467529296875,0.005470110907194067,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",35.564803062231285,l2,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 35.564803062231285, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.5773561142271726,0.5891579376428342,0.577697301706639,0.5814037845255485,0.005484783201353151,49,0.5707402946354119,0.5807467803205781,0.5729639581210043,0.5748170110256647,0.00429012763931815,63,0.5707402946354119,0.5807467803205781,0.5729639581210043,0.5748170110256647,0.00429012763931815,63
70,19.992913961410522,1.960452834121774,0.02730242411295573,0.00041129226604165117,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",51.79474679231202,l1,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 51.79474679231202, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.5661725357483955,0.5810121404859365,0.5648750518989283,0.5706865760444201,0.0073204656892777034,59,0.5631427777263041,0.5786157694802186,0.5663856203094598,0.5693813891719941,0.006662549149911266,70,0.5631427777263041,0.5786157694802186,0.5663856203094598,0.5693813891719941,0.006662549149911266,70
71,9.741900046666464,0.5546323089577501,0.025711536407470703,0.001974618896134298,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",51.79474679231202,l2,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 51.79474679231202, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.574699940356221,0.5867495690534394,0.5745912217414606,0.5786802437170403,0.005706047287617369,51,0.5695358102473825,0.5787084221254517,0.5711109052163439,0.5731183791963927,0.004004719382749449,64,0.5695358102473825,0.5787084221254517,0.5711109052163439,0.5731183791963927,0.004004719382749449,64
72,21.688779910405476,2.458438355082028,0.028458356857299805,0.00226839056702952,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",75.43120063354607,l1,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 75.43120063354607, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.5643290744222603,0.5793651900868023,0.5634224807733538,0.5690389150941387,0.007311153325759227,61,0.5610117668859446,0.5773186324469564,0.5656443991475957,0.5679915994934989,0.00686102413172087,73,0.5610117668859446,0.5773186324469564,0.5656443991475957,0.5679915994934989,0.00686102413172087,73
73,10.813654025395712,0.8602308203400507,0.0267026424407959,0.002887017206369269,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",75.43120063354607,l2,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 75.43120063354607, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.5723860928885803,0.5847135425198845,0.571860631799746,0.5763200890694037,0.005938943394129514,53,0.5673121467617901,0.5782451588992866,0.5700917261187807,0.5718830105932858,0.004639627402505073,66,0.5673121467617901,0.5782451588992866,0.5700917261187807,0.5718830105932858,0.004639627402505073,66
74,22.110124905904133,1.687793982566218,0.030657370885213215,0.0007230203261534129,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",109.85411419875572,l1,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 109.85411419875572, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.5632998405154237,0.5780690564340065,0.5621378039579235,0.5678355669691179,0.007251703809507193,63,0.5604558510145464,0.5767627165755582,0.5643472621143334,0.5671886099014793,0.006953819527994072,76,0.5604558510145464,0.5767627165755582,0.5643472621143334,0.5671886099014793,0.006953819527994072,76
75,12.943462451299032,1.474508910804985,0.026961406071980793,0.0006709388948656227,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",109.85411419875572,l2,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 109.85411419875572, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.5703968865454133,0.5829344809740573,0.5695453037396889,0.5742922237530531,0.006120879878157489,55,0.567219494116557,0.5785231168349856,0.5689798943759844,0.571574168442509,0.004965928250879529,68,0.567219494116557,0.5785231168349856,0.5689798943759844,0.571574168442509,0.004965928250879529,68
76,23.34549570083618,1.2576991440065286,0.03281299273173014,0.002345308752470876,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",159.98587196060572,l1,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 159.98587196060572, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.5622600377168516,0.5770077635555724,0.560905263856512,0.5667243550429787,0.0072924719645594644,65,0.5596219772074493,0.5765774112850922,0.5634207356620031,0.5665400413848483,0.007264949521951456,83,0.5596219772074493,0.5765774112850922,0.5634207356620031,0.5665400413848483,0.007264949521951456,83
77,15.487973690032959,1.1090793947166637,0.029021024703979492,0.0009103959252061043,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",159.98587196060572,l2,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 159.98587196060572, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.5685827715086635,0.5814808003751252,0.5675374766098145,0.572533682831201,0.006340943390116121,57,0.5646252200500325,0.5770406745112573,0.5676827573427221,0.5697828839680039,0.005281652282594286,69,0.5646252200500325,0.5770406745112573,0.5676827573427221,0.5697828839680039,0.005281652282594286,69
78,22.772514899571735,2.2017503058589103,0.030103603998819988,0.001539318795034961,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",232.99518105153672,l1,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 232.99518105153672, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.5613388531131904,0.5757164211336969,0.5603087916661295,0.5657880219710055,0.007033021593240352,67,0.5592513666265172,0.575558232187529,0.5645325674047994,0.5664473887396152,0.0067935445664457795,86,0.5592513666265172,0.575558232187529,0.5645325674047994,0.5664473887396152,0.0067935445664457795,86
79,15.431099732716879,1.0601619518160659,0.027352650960286457,0.0012498790964127387,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",232.99518105153672,l2,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 232.99518105153672, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.566941105555397,0.5800710863658126,0.5658495857209658,0.5709539258807251,0.006462188244981709,58,0.5620309459835078,0.5766700639303252,0.567034188826091,0.5685783995799747,0.006075326257604885,71,0.5620309459835078,0.5766700639303252,0.567034188826091,0.5685783995799747,0.006075326257604885,71
